date,club,country,elo
2023-08-15,Bayern Munich,GER,1935.63
2023-08-15,Dortmund,GER,1840.54
2023-08-15,RB Leipzig,GER,1825.38
2023-08-15,Leverkusen,GER,1748.23
2023-08-15,Union Berlin,GER,1738.94
2023-08-15,Freiburg,GER,1732.67
2023-08-15,Ein Frankfurt,GER,1717.05
2023-08-15,Wolfsburg,GER,1710.01
2023-08-15,MGladbach,GER,1684.28
2023-08-15,Mainz,GER,1682.04
2023-08-15,FC Koln,GER,1664.45
2023-08-15,Hoffenheim,GER,1639.18
2023-08-15,Stuttgart,GER,1628.82
2023-08-15,Bochum,GER,1608.66
2023-08-15,Werder Bremen,GER,1602.03
2023-08-15,Augsburg,GER,1587.16
2023-08-15,Heidenheim,GER,1568.46
2023-08-15,Darmstadt,GER,1552.38
