end_year,team,played,wins,draws,losses,gf,ga,points,gd
1964,FC Koln,30,17,11,2,78,40,45,38
1965,Werder Bremen,30,15,11,4,54,29,41,25
1966,TSV 1860 Munchen,34,20,10,4,80,40,50,40
1967,Eintracht Braunschweig,34,17,9,8,49,27,43,22
1968,1. FC Nurnberg,34,19,9,6,71,37,47,34
1969,Bayern Munich,34,18,10,6,61,31,46,30
1970,MGladbach,34,23,5,6,71,29,51,42
1971,MGladbach,34,20,10,4,77,35,50,42
1972,Bayern Munich,34,24,7,3,101,38,55,63
1973,Bayern Munich,34,25,4,5,93,29,54,64
1974,Bayern Munich,34,20,9,5,95,53,49,42
1975,MGladbach,34,21,8,5,86,40,50,46
1976,MGladbach,34,16,13,5,66,37,45,29
1977,MGladbach,34,17,10,7,58,34,44,24
1978,FC Koln,34,22,4,8,86,41,48,45
1979,Hamburger SV,34,21,7,6,78,32,49,46
1980,Bayern Munich,34,22,6,6,84,33,50,51
1981,Bayern Munich,34,22,9,3,89,41,53,48
1982,Hamburger SV,34,18,12,4,95,45,48,50
1983,Hamburger SV,34,20,12,2,79,33,52,46
1984,Stuttgart,34,19,10,5,79,33,48,46
1985,Bayern Munich,34,21,8,5,79,38,50,41
1986,Bayern Munich,34,21,7,6,82,31,49,51
1987,Bayern Munich,34,20,13,1,67,31,53,36
1988,Werder Bremen,34,22,8,4,61,22,52,39
1989,Bayern Munich,34,19,12,3,67,26,50,41
1990,Bayern Munich,34,19,11,4,64,28,49,36
1991,1. FC Kaiserslautern,34,19,10,5,72,45,48,27
1992,Stuttgart,38,21,10,7,62,32,52,30
1993,Werder Bremen,34,19,10,5,63,30,48,33
1994,Bayern Munich,34,17,10,7,68,37,44,31
1995,Dortmund,34,20,9,5,67,33,49,34
1996,Dortmund,34,19,11,4,76,38,68,38
1997,Bayern Munich,34,20,11,3,68,34,71,34
1998,1. FC Kaiserslautern,34,19,11,4,63,39,68,24
1999,Bayern Munich,34,24,6,4,76,28,78,48
2000,Bayern Munich,34,22,7,5,73,28,73,45
2001,Bayern Munich,34,19,6,9,62,37,63,25
2002,Dortmund,34,21,7,6,62,33,70,29
2003,Bayern Munich,34,23,6,5,70,25,75,45
2004,Werder Bremen,34,22,8,4,79,38,74,41
2005,Bayern Munich,34,24,5,5,75,33,77,42
2006,Bayern Munich,34,22,9,3,67,32,75,35
2007,Stuttgart,34,21,7,6,61,37,70,24
2008,Bayern Munich,34,22,10,2,68,21,76,47
2009,Wolfsburg,34,21,6,7,80,41,69,39
2010,Bayern Munich,34,20,10,4,72,31,70,41
2011,Dortmund,34,23,6,5,67,22,75,45
2012,Dortmund,34,25,6,3,80,25,81,55
2013,Bayern Munich,34,29,4,1,98,18,91,80
2014,Bayern Munich,34,29,3,2,94,23,90,71
2015,Bayern Munich,34,25,4,5,80,18,79,62
2016,Bayern Munich,34,28,4,2,80,17,88,63
2017,Bayern Munich,34,25,7,2,89,22,82,67
2018,Bayern Munich,34,27,3,4,92,28,84,64
2019,Bayern Munich,34,24,6,4,88,32,78,56
2020,Bayern Munich,34,26,4,4,100,32,82,68
2021,Bayern Munich,34,24,6,4,99,44,78,55
2022,Bayern Munich,34,24,5,5,97,37,77,60
2023,Bayern Munich,34,21,8,5,92,38,71,54
