date,opponent,score85_lev,score85_opp,final_lev,final_opp,rescued
2023-08-19,RB Leipzig,3,2,3,2,False
2023-08-26,Borussia Mönchengladbach,3,0,3,0,False
2023-09-02,Darmstadt 98,5,1,5,1,False
2023-09-15,Bayern Munich,1,1,2,2,True
2023-09-24,FC Heidenheim,4,1,4,1,False
2023-09-30,FSV Mainz 05,3,0,3,0,False
2023-10-08,FC Köln,3,0,3,0,False
2023-10-21,Wolfsburg,2,1,2,1,False
2023-10-29,Freiburg,2,1,2,1,False
2023-11-04,Hoffenheim,3,2,3,2,False
2023-11-12,Union Berlin,4,0,4,0,False
2023-11-25,Werder Bremen,3,0,3,0,False
2023-12-03,Borussia Dortmund,1,1,1,1,False
2023-12-10,VfB Stuttgart,1,1,1,1,False
2023-12-17,Eintracht Frankfurt,3,0,3,0,False
2023-12-20,Bochum,4,0,4,0,False
2024-01-13,Augsburg,0,0,1,0,False
2024-01-20,RB Leipzig,2,2,3,2,False
2024-01-27,Borussia Mönchengladbach,0,0,0,0,False
2024-02-03,Darmstadt 98,2,0,2,0,False
2024-02-10,Bayern Munich,2,0,3,0,False
2024-02-17,FC Heidenheim,2,0,2,1,False
2024-02-23,FSV Mainz 05,2,1,2,1,False
2024-03-03,FC Köln,2,0,2,0,False
2024-03-10,Wolfsburg,1,0,2,0,False
2024-03-17,Freiburg,3,2,3,2,False
2024-03-30,Hoffenheim,0,1,2,1,True
2024-04-06,Union Berlin,1,0,1,0,False
2024-04-14,Werder Bremen,4,0,5,0,False
2024-04-21,Borussia Dortmund,0,1,1,1,True
2024-04-27,VfB Stuttgart,1,2,2,2,True
2024-05-05,Eintracht Frankfurt,4,1,5,1,False
2024-05-12,Bochum,3,0,5,0,False
2024-05-18,Augsburg,2,1,2,1,False
