code,elo,last_match,cutoff
AR,2115,2026-06-09,2026-06-11
AT,1830,2026-06-01,2026-06-11
AU,1777,2026-06-06,2026-06-11
BA,1594,2026-06-06,2026-06-11
BE,1893,2026-06-06,2026-06-11
BR,1991,2026-06-06,2026-06-11
CA,1788,2026-06-05,2026-06-11
CD,1652,2026-06-09,2026-06-11
CH,1891,2026-06-06,2026-06-11
CI,1696,2026-06-04,2026-06-11
CO,1982,2026-06-07,2026-06-11
CV,1578,2026-06-06,2026-06-11
CW,1434,2026-06-06,2026-06-11
CZ,1740,2026-06-04,2026-06-11
DE,1932,2026-06-06,2026-06-11
DZ,1772,2026-06-10,2026-06-11
EC,1938,2026-06-07,2026-06-11
EG,1696,2026-06-06,2026-06-11
EN,2024,2026-06-10,2026-06-11
ES,2157,2026-06-08,2026-06-11
FR,2064,2026-06-08,2026-06-11
GH,1511,2026-06-02,2026-06-11
HR,1911,2026-06-07,2026-06-11
HT,1548,2026-06-05,2026-06-11
IQ,1607,2026-06-09,2026-06-11
IR,1772,2026-06-04,2026-06-11
JO,1680,2026-06-07,2026-06-11
JP,1906,2026-05-31,2026-06-11
KR,1758,2026-06-03,2026-06-11
MA,1827,2026-06-07,2026-06-11
MX,1875,2026-06-04,2026-06-11
NL,1947,2026-06-08,2026-06-11
NO,1914,2026-06-07,2026-06-11
NZ,1562,2026-06-06,2026-06-11
PA,1730,2026-06-06,2026-06-11
PT,1989,2026-06-10,2026-06-11
PY,1833,2026-06-05,2026-06-11
QA,1421,2026-06-06,2026-06-11
SA,1576,2026-06-09,2026-06-11
SE,1712,2026-06-04,2026-06-11
SN,1860,2026-06-09,2026-06-11
SQ,1782,2026-06-06,2026-06-11
TN,1628,2026-06-06,2026-06-11
TR,1910,2026-06-06,2026-06-11
US,1726,2026-06-06,2026-06-11
UY,1892,2026-03-31,2026-06-11
UZ,1714,2026-06-08,2026-06-11
ZA,1518,2026-06-06,2026-06-11
