trial,direct_qualification,group_position,advance,three_draws_position,three_draws_advance
1,False,4,False,3,True
2,False,4,False,3,True
3,False,4,False,3,True
4,False,3,True,3,True
5,False,4,False,3,True
6,False,3,False,3,True
7,False,4,False,3,True
8,False,3,True,3,True
9,False,2,True,3,True
10,False,3,True,3,False
11,False,4,False,3,True
12,False,3,True,2,True
13,False,3,False,3,True
14,True,4,False,3,True
15,False,4,False,3,True
16,False,4,False,3,True
17,False,2,True,3,True
18,False,3,False,3,True
19,False,4,False,3,True
20,False,2,True,3,True
21,False,2,True,3,True
22,False,3,True,3,False
23,False,3,False,3,True
24,True,3,False,3,True
25,False,3,False,3,True
26,False,4,False,3,True
27,True,4,False,3,True
28,False,4,False,3,True
29,False,4,False,3,True
30,False,4,False,2,True
31,False,3,True,3,True
32,False,4,False,2,True
33,False,3,False,3,True
34,False,3,False,3,True
35,False,3,False,3,True
36,True,4,False,3,True
37,False,4,False,3,True
38,False,4,False,3,True
39,False,3,True,3,True
40,False,3,False,3,True
41,False,4,False,3,True
42,False,4,False,3,True
43,False,4,False,3,True
44,False,3,True,3,True
45,False,4,False,2,True
46,False,2,True,3,True
47,False,4,False,3,True
48,False,4,False,3,True
49,True,3,True,2,True
50,False,3,True,3,True
51,False,4,False,3,True
52,False,4,False,3,True
53,False,3,False,3,True
54,False,4,False,2,True
55,False,4,False,3,True
56,False,4,False,3,True
57,False,3,True,3,True
58,False,2,True,2,True
59,False,3,True,3,True
60,False,3,False,3,True
61,False,3,False,3,True
62,False,3,False,3,True
63,False,4,False,3,True
64,False,3,True,3,True
65,False,3,False,3,True
66,False,3,False,3,True
67,False,3,False,3,True
68,False,3,False,3,True
69,False,3,True,3,True
70,False,3,True,2,True
71,False,3,False,3,True
72,False,4,False,2,True
73,True,4,False,3,True
74,False,4,False,2,True
75,False,4,False,3,True
76,False,4,False,3,True
77,False,4,False,2,True
78,False,3,False,3,True
79,False,3,False,3,True
80,False,3,False,2,True
81,True,4,False,3,False
82,False,4,False,3,True
83,False,3,False,3,True
