season,wins,draws,losses,points
1,15,6,13,51
2,22,5,7,71
3,19,5,10,62
4,21,5,8,68
5,18,4,12,58
6,19,6,9,63
7,16,6,12,54
8,19,5,10,62
9,19,8,7,65
10,16,6,12,54
11,12,8,14,44
12,19,3,12,60
13,12,11,11,47
14,17,5,12,56
15,15,6,13,51
16,17,4,13,55
17,17,9,8,60
18,18,8,8,62
19,18,4,12,58
20,17,6,11,57
21,18,6,10,60
22,13,15,6,54
23,21,5,8,68
24,20,5,9,65
25,16,6,12,54
26,15,6,13,51
27,18,9,7,63
28,18,8,8,62
29,24,2,8,74
30,14,5,15,47
31,19,8,7,65
32,11,8,15,41
33,13,12,9,51
34,17,9,8,60
35,18,7,9,61
36,12,8,14,44
37,16,5,13,53
38,14,11,9,53
39,14,5,15,47
40,18,6,10,60
41,11,10,13,43
42,15,8,11,53
43,16,6,12,54
44,15,8,11,53
45,15,9,10,54
46,22,3,9,69
47,19,7,8,64
48,19,5,10,62
49,16,5,13,53
50,18,4,12,58
51,10,8,16,38
52,17,10,7,61
53,18,7,9,61
54,13,9,12,48
55,19,1,14,58
56,19,4,11,61
57,14,9,11,51
58,23,4,7,73
59,15,6,13,51
60,12,6,16,42
61,24,5,5,77
62,16,4,14,52
63,16,5,13,53
64,15,6,13,51
65,14,9,11,51
66,19,4,11,61
67,17,3,14,54
68,17,9,8,60
69,16,8,10,56
70,14,8,12,50
71,18,4,12,58
72,13,7,14,46
73,17,4,13,55
74,20,6,8,66
75,12,7,15,43
76,23,5,6,74
77,14,10,10,52
78,16,11,7,59
79,18,8,8,62
80,13,8,13,47
81,18,12,4,66
82,17,8,9,59
83,19,5,10,62
84,15,7,12,52
85,22,5,7,71
86,14,9,11,51
87,16,8,10,56
88,18,7,9,61
89,21,5,8,68
90,18,8,8,62
91,14,8,12,50
92,14,9,11,51
93,18,7,9,61
94,19,5,10,62
95,10,8,16,38
96,17,8,9,59
97,18,6,10,60
98,15,10,9,55
99,14,12,8,54
100,15,3,16,48
101,15,10,9,55
102,16,8,10,56
103,14,11,9,53
104,12,5,17,41
105,20,6,8,66
106,16,9,9,57
107,19,5,10,62
108,13,5,16,44
109,15,9,10,54
110,13,7,14,46
111,15,10,9,55
112,15,10,9,55
113,16,10,8,58
114,16,8,10,56
115,8,10,16,34
116,16,7,11,55
117,14,8,12,50
118,14,8,12,50
119,13,7,14,46
120,20,6,8,66
121,15,7,12,52
122,14,8,12,50
123,17,11,6,62
124,21,5,8,68
125,20,3,11,63
126,18,4,12,58
127,11,10,13,43
128,14,8,12,50
129,18,4,12,58
130,18,5,11,59
131,13,10,11,49
132,22,6,6,72
133,14,7,13,49
134,13,5,16,44
135,18,6,10,60
136,17,5,12,56
137,21,4,9,67
138,17,7,10,58
139,16,5,13,53
140,14,7,13,49
141,20,6,8,66
142,15,10,9,55
143,15,12,7,57
144,14,8,12,50
145,19,6,9,63
146,16,8,10,56
147,13,6,15,45
148,20,2,12,62
149,13,8,13,47
150,15,7,12,52
151,15,9,10,54
152,16,7,11,55
153,9,9,16,36
154,14,13,7,55
155,10,14,10,44
156,16,11,7,59
157,16,11,7,59
158,17,8,9,59
159,19,5,10,62
160,19,6,9,63
161,16,6,12,54
162,20,6,8,66
163,15,6,13,51
164,21,4,9,67
165,20,5,9,65
